,0
0,42.0
1,37.5
2,38.0
3,38.25
4,38.0
5,37.333333333333336
6,35.0
7,34.125
8,34.77777777777778
9,33.7
10,31.636363636363637
11,32.166666666666664
12,32.69230769230769
13,33.142857142857146
14,33.53333333333333
15,34.0
16,34.294117647058826
17,34.5
18,34.78947368421053
19,33.65
20,33.857142857142854
21,34.04545454545455
22,34.26086956521739
23,34.5
24,34.64
25,34.5
26,34.55555555555556
27,34.67857142857143
28,34.689655172413794
29,34.86666666666667
30,34.903225806451616
31,34.34375
32,34.484848484848484
33,34.588235294117645
34,34.65714285714286
35,34.80555555555556
36,34.45945945945946
37,34.39473684210526
38,34.56410256410256
39,34.625
40,34.707317073170735
41,34.714285714285715
42,34.86046511627907
43,34.95454545454545
44,35.0
45,35.130434782608695
46,34.59574468085106
47,34.583333333333336
48,34.51020408163265
49,34.58
50,34.6078431372549
51,34.73076923076923
52,34.81132075471698
53,34.925925925925924
54,35.0
55,35.05357142857143
56,34.80701754385965
57,34.91379310344828
58,35.0
59,34.85
60,34.85245901639344
61,34.79032258064516
62,34.84126984126984
63,34.921875
64,34.93846153846154
65,34.96969696969697
66,35.014925373134325
67,35.0735294117647
68,34.63768115942029
69,34.67142857142857
70,34.70422535211268
71,34.791666666666664
72,34.863013698630134
73,34.945945945945944
74,34.586666666666666
75,34.56578947368421
76,34.58441558441559
77,34.64102564102564
78,34.69620253164557
79,34.7375
80,34.81481481481482
81,34.829268292682926
82,34.87951807228916
83,34.95238095238095
84,34.94117647058823
85,34.95348837209303
86,34.724137931034484
87,34.77272727272727
88,34.80898876404494
89,34.855555555555554
90,34.89010989010989
91,34.92391304347826
92,34.946236559139784
93,34.93617021276596
94,34.98947368421052
95,34.708333333333336
96,34.391752577319586
97,34.41836734693877
98,34.45454545454545
99,34.52
100,34.48514851485149
101,34.470588235294116
102,34.41747572815534
103,34.31730769230769
104,34.36190476190476
105,34.41509433962264
106,34.4392523364486
107,34.46296296296296
108,34.522935779816514
109,34.56363636363636
110,34.585585585585584
111,34.5625
112,34.61946902654867
113,34.64035087719298
114,34.68695652173913
115,34.6551724137931
116,34.666666666666664
117,34.720338983050844
118,34.7563025210084
119,34.791666666666664
120,34.82644628099174
121,34.885245901639344
122,34.926829268292686
123,34.71774193548387
124,34.712
125,34.714285714285715
126,34.7007874015748
127,34.7265625
128,34.72868217054263
129,34.776923076923076
130,34.79389312977099
131,34.833333333333336
132,34.80451127819549
133,34.776119402985074
134,34.77037037037037
135,34.779411764705884
136,34.75182481751825
137,34.77536231884058
138,34.805755395683455
139,34.82857142857143
140,34.858156028368796
141,34.88732394366197
142,34.88111888111888
143,34.80555555555556
144,34.648275862068964
